,tanggal,indeks harga rumah
0,2002-03-01,73.906
3,2002-06-01,75.029
6,2002-09-01,76.138
9,2002-12-01,76.818
12,2003-03-01,78.554
15,2003-06-01,79.648
18,2003-09-01,80.846
21,2003-12-01,82.415
24,2004-03-01,82.065
27,2004-06-01,83.107
30,2004-09-01,83.853
33,2004-12-01,84.216
36,2005-03-01,85.25
39,2005-06-01,86.137
42,2005-09-01,86.684
45,2005-12-01,88.347
48,2006-03-01,90.52
51,2006-06-01,90.83
54,2006-09-01,91.377
57,2006-12-01,91.931
60,2007-03-01,92.16
63,2007-06-01,92.781
66,2007-09-01,93.084
69,2007-12-01,93.535
72,2008-03-01,94.23
75,2008-06-01,95.021
78,2008-09-01,95.471
81,2008-12-01,95.93
84,2009-03-01,96.381
87,2009-06-01,97.046
90,2009-09-01,97.474
93,2009-12-01,98.139
96,2010-03-01,98.827
99,2010-06-01,99.854
102,2010-09-01,100.327
105,2010-12-01,100.992
108,2011-03-01,103.254
111,2011-06-01,104.377
114,2011-09-01,104.88
117,2011-12-01,106.092
120,2012-03-01,106.964
123,2012-06-01,108.22
126,2012-09-01,109.336
129,2012-12-01,113.268
132,2013-03-01,118.73
135,2013-06-01,121.324
138,2013-09-01,124.103
141,2013-12-01,126.305
144,2014-03-01,128.138
147,2014-06-01,130.303
150,2014-09-01,132.203
153,2014-12-01,134.242
156,2015-03-01,136.171
159,2015-06-01,138.056
162,2015-09-01,139.423
165,2015-12-01,140.436
168,2016-03-01,141.825
171,2016-06-01,142.734
174,2016-09-01,143.252
177,2016-12-01,143.776
180,2017-03-01,145.55
183,2017-06-01,147.265
186,2017-09-01,148.004
189,2017-12-01,148.817
192,2018-03-01,150.923
195,2018-06-01,151.804
198,2018-09-01,152.275
201,2018-12-01,152.822
204,2019-03-01,153.385
207,2019-06-01,153.719
210,2019-09-01,154.175
213,2019-12-01,154.722
216,2020-03-01,155.39
219,2020-06-01,155.816
222,2020-09-01,156.12
225,2020-12-01,156.5
228,2021-03-01,156.88
231,2021-06-01,157.305
234,2021-09-01,157.715
237,2021-12-01,158.354
240,2022-03-01,159.357
243,2022-06-01,159.904
246,2022-09-01,160.77
249,2022-12-01,161.529
252,2023-03-01,162.213
255,2023-06-01,162.988
258,2023-09-01,163.915
261,2023-12-01,164.341
264,2024-03-01,165.268
267,2024-06-01,165.86
270,2024-09-01,166.301
